run_name,profile,controller_mode,green_phase_name,green_phase_id,phase_flag_model,green_start_time,green_end_time,congested,obs_cars_N,obs_cars_S,obs_cars_E,obs_cars_W,obs_wait_N,obs_wait_S,obs_wait_E,obs_wait_W,pending_N,pending_S,pending_E,pending_W,pending_wait_avg_N,pending_wait_avg_S,pending_wait_avg_E,pending_wait_avg_W,ctrl_cars_N,ctrl_cars_S,ctrl_cars_E,ctrl_cars_W,ctrl_wait_N,ctrl_wait_S,ctrl_wait_E,ctrl_wait_W,ped_flag,base_green,final_green,total_inc,total_dec
pm_peak_fixed,pm_peak,fixed,EW_GREEN,0,1,1.0,21.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,19,19,0,0
pm_peak_fixed,pm_peak,fixed,NS_GREEN,3,0,32.0,90.0,0,0,0,1,0,0.00,0.00,2.00,0.00,0,0,0,1,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,1,57,57,0,0
pm_peak_fixed,pm_peak,fixed,EW_GREEN,0,1,101.0,121.0,0,1,3,0,0,10.00,27.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,10.00,27.00,0.00,0.00,1,19,19,0,0
pm_peak_fixed,pm_peak,fixed,NS_GREEN,3,0,132.0,190.0,0,1,0,0,0,4.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,1,57,57,0,0
pm_peak_fixed,pm_peak,fixed,EW_GREEN,0,1,201.0,221.0,1,5,5,1,1,172.00,249.00,4.00,3.00,0,0,0,0,0.00,0.00,0.00,0.00,5.00,5.00,1.00,1.00,172.00,249.00,4.00,3.00,1,19,19,0,0
pm_peak_fixed,pm_peak,fixed,NS_GREEN,3,0,232.0,290.0,1,1,1,5,2,1.00,4.00,103.00,20.00,0,0,0,2,0.00,0.00,0.00,2.00,1.00,1.00,5.00,2.70,1.00,4.00,103.00,20.50,1,57,57,0,0
pm_peak_fixed,pm_peak,fixed,EW_GREEN,0,1,301.0,321.0,1,11,10,1,1,369.00,385.00,4.00,4.00,2,3,0,8,13.00,9.67,0.00,29.62,11.70,11.05,1.00,3.80,372.25,387.42,4.00,11.41,1,19,19,0,0
pm_peak_fixed,pm_peak,fixed,NS_GREEN,3,0,332.0,390.0,1,1,1,1,2,2.00,1.00,8.00,40.00,0,3,0,9,0.00,21.33,0.00,56.11,1.00,2.05,1.00,5.15,2.00,6.33,8.00,54.03,1,57,57,0,0
pm_peak_fixed,pm_peak,fixed,EW_GREEN,0,1,401.0,421.0,1,12,10,1,1,554.00,544.00,4.00,4.00,3,2,1,0,9.67,5.50,3.00,0.00,13.05,10.70,1.35,1.00,556.42,545.38,4.75,4.00,1,19,19,0,0
pm_peak_fixed,pm_peak,fixed,NS_GREEN,3,0,432.0,490.0,1,3,1,10,3,6.00,2.00,156.00,41.00,3,1,0,1,8.67,5.00,0.00,11.00,4.05,1.35,10.00,3.35,8.17,3.25,156.00,43.75,1,57,57,0,0
