timestamp,sim_time,phase_name,sumo_phase,phase_flag_model,cars_N,cars_S,cars_E,cars_W,wait_N,wait_S,wait_E,wait_W,ped_flag,base_predicted_green,final_applied_green,total_inc,total_dec
2026-03-13 14:40:02,163.0,NS,3,0,0,1,1,1,0.00,0.00,27.00,5.00,1,11,11,0,0
2026-03-13 14:40:02,202.0,EW,0,1,0,1,0,0,0.00,13.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:02,240.0,NS,3,0,0,0,1,2,0.00,0.00,14.00,33.00,1,30,26,0,4
2026-03-13 14:40:02,279.0,EW,0,1,2,0,0,0,36.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:02,313.0,NS,3,0,0,0,3,1,0.00,0.00,26.00,22.00,1,30,22,0,8
2026-03-13 14:40:02,352.0,EW,0,1,1,1,0,0,31.00,3.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,384.0,NS,3,0,0,0,2,1,0.00,0.00,26.00,26.00,1,30,22,0,8
2026-03-13 14:40:03,423.0,EW,0,1,1,1,1,0,20.00,13.00,18.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,449.0,NS,3,0,0,0,5,1,0.00,0.00,70.00,3.00,1,30,16,0,14
2026-03-13 14:40:03,488.0,EW,0,1,2,0,1,0,62.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,526.0,NS,3,0,0,0,2,1,0.00,0.00,33.00,2.00,1,30,28,0,2
2026-03-13 14:40:03,565.0,EW,0,1,1,0,1,0,6.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,599.0,NS,3,0,0,0,2,1,0.00,0.00,31.00,15.00,1,30,22,0,8
2026-03-13 14:40:03,639.0,EW,0,1,0,2,0,0,0.00,32.00,0.00,0.00,1,30,28,0,2
2026-03-13 14:40:03,680.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,32,2,0
2026-03-13 14:40:03,719.0,EW,0,1,0,1,0,0,0.00,28.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,758.0,NS,3,0,0,0,1,0,0.00,0.00,33.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,797.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
