scenario_type,cars_N,cars_S,cars_E,cars_W,wait_N,wait_S,wait_E,wait_W,phase_flag,rush_flag,ped_flag,best_green_time
medium,1,0,1,0,0.0,0.0,6.0,0.0,0,0,0,10
medium,0,1,0,0,0.0,31.0,0.0,0.0,0,0,1,20
medium,2,0,0,0,3.0,0.0,0.0,0.0,0,0,0,10
medium,3,3,0,0,70.0,62.0,0.0,0.0,0,0,0,10
medium,1,2,0,0,32.0,87.0,0.0,0.0,0,0,0,10
medium,1,0,0,0,0.0,0.0,0.0,0.0,1,0,0,10
medium,1,0,0,1,1.0,0.0,0.0,1.0,0,0,0,10
medium,0,1,1,2,0.0,3.0,13.0,19.0,1,0,0,10
medium,2,2,1,0,8.0,12.0,2.0,0.0,0,0,0,10
medium,0,0,3,1,0.0,0.0,14.0,6.0,1,0,1,20
medium,2,2,1,0,13.0,15.0,1.0,0.0,0,0,0,10
medium,0,0,1,2,0.0,0.0,0.0,11.0,1,0,0,10
medium,1,2,2,1,5.0,19.0,3.0,1.0,0,0,0,10
medium,0,0,4,0,0.0,0.0,30.0,0.0,1,0,0,10
medium,1,2,0,0,1.0,8.0,0.0,0.0,0,0,0,10
medium,0,0,0,2,0.0,0.0,0.0,6.0,1,0,0,10
medium,3,2,1,0,17.0,9.0,3.0,0.0,0,0,1,20
medium,2,1,4,0,1.0,1.0,45.0,0.0,1,0,0,10
medium,2,2,1,1,14.0,24.0,1.0,0.0,0,0,1,20
medium,1,0,2,3,1.0,0.0,48.0,32.0,1,0,0,10
medium,2,2,1,0,24.0,24.0,0.0,0.0,0,0,0,10
medium,1,1,1,1,1.0,2.0,6.0,1.0,1,0,0,10
medium,2,2,0,0,10.0,11.0,0.0,0.0,0,0,0,10
medium,0,0,0,2,0.0,0.0,0.0,5.0,1,0,0,10
medium,0,2,0,0,0.0,20.0,0.0,0.0,0,0,0,10
medium,0,1,0,1,0.0,2.0,0.0,2.0,1,0,0,10
medium,1,1,1,0,1.0,4.0,3.0,0.0,0,0,0,10
medium,1,0,2,1,3.0,0.0,7.0,5.0,1,0,0,10
medium,2,2,1,0,11.0,12.0,2.0,0.0,0,0,0,10
medium,1,1,2,0,2.0,1.0,10.0,0.0,1,0,0,10
medium,2,1,1,0,8.0,4.0,2.0,0.0,0,0,0,10
medium,1,1,1,2,1.0,4.0,7.0,9.0,1,0,1,20
medium,5,3,1,1,48.0,35.0,2.0,2.0,0,0,0,10
medium,1,1,2,1,3.0,2.0,14.0,11.0,1,0,0,10
medium,1,3,1,0,6.0,30.0,1.0,0.0,0,0,0,10
medium,1,2,3,1,1.0,25.0,29.0,6.0,1,0,0,10
