timestamp,phase,signal_state,green_duration,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,vehicles_passed,avg_wait
2026-04-08_15-54-26,NS,GREEN,10,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.00
2026-04-08_15-54-32,NS,YELLOW,3,2,1,0,0,0,12.37,6.18,0.00,0.00,0,8.82
2026-04-08_15-54-35,NS,ALL_RED,3,2,1,0,0,0,18.63,9.31,0.00,0.00,0,13.61
2026-04-08_15-54-38,EW,GREEN,10,2,1,0,0,0,0.00,0.00,0.00,0.00,0,18.13
2026-04-08_15-55-04,EW,YELLOW,3,2,1,0,0,0,0.00,0.00,0.00,0.00,54,8.17
2026-04-08_15-55-07,EW,ALL_RED,3,2,1,0,0,0,0.00,0.00,0.00,0.00,54,7.49
2026-04-08_15-55-34,NS,GREEN,10,2,1,0,0,0,1.44,0.72,0.00,0.00,0,1.09
2026-04-08_15-55-40,NS,YELLOW,3,2,1,0,0,0,13.88,6.94,0.00,0.00,0,10.34
2026-04-08_15-56-54,NS,GREEN,10,2,2,0,0,0,1.05,1.05,0.00,0.00,0,1.06
2026-04-08_15-57-00,NS,YELLOW,3,2,2,0,0,0,12.24,12.71,0.00,0.00,0,12.81
2026-04-08_15-57-03,NS,ALL_RED,3,3,1,0,0,0,19.64,17.56,0.00,0.00,0,18.64
2026-04-08_15-57-06,EW,GREEN,10,2,1,0,0,0,0.00,0.00,0.00,0.00,0,24.61
2026-04-08_15-58-17,EW,YELLOW,3,4,4,0,0,0,0.00,0.00,0.00,0.00,20,19.61
2026-04-08_15-58-20,EW,ALL_RED,3,4,4,0,0,0,0.00,0.00,0.00,0.00,20,16.30
2026-04-08_15-58-23,NS,GREEN,10,4,4,0,0,0,0.00,0.00,0.00,0.00,20,14.10
2026-04-08_15-58-29,NS,YELLOW,3,4,4,0,0,0,28.61,24.27,0.00,0.00,20,17.10
2026-04-08_15-58-32,NS,ALL_RED,3,5,4,0,0,0,41.56,36.46,0.00,0.00,20,22.28
2026-04-08_15-58-35,EW,GREEN,12,4,4,0,0,0,0.00,0.00,0.00,0.00,20,28.94
2026-04-08_16-02-40,NS,GREEN,10,8,8,0,0,0,4.51,4.51,0.00,0.00,0,4.54
2026-04-08_16-02-59,NS,GREEN,10,8,8,0,0,0,5.75,5.75,0.00,0.00,0,5.72
2026-04-08_16-03-05,NS,YELLOW,3,8,8,0,0,0,55.50,54.91,0.00,0.00,0,55.41
2026-04-08_16-03-08,NS,ALL_RED,3,8,8,0,0,0,81.18,80.12,0.00,0.00,0,80.88
2026-04-08_16-03-11,EW,GREEN,12,8,8,0,0,0,0.00,0.00,0.00,0.00,0,106.15
2026-04-08_16-03-39,EW,YELLOW,3,8,8,0,0,0,0.00,0.00,0.00,0.00,368,37.91
2026-04-08_16-03-43,EW,ALL_RED,3,8,8,0,0,0,0.00,0.00,0.00,0.00,368,34.96
2026-04-08_16-03-46,NS,GREEN,10,8,8,0,0,0,0.00,0.00,0.00,0.00,368,34.14
2026-04-08_16-03-52,NS,YELLOW,3,8,8,0,0,0,49.23,48.29,0.00,0.00,368,36.61
2026-04-08_16-03-55,NS,ALL_RED,3,8,8,0,0,0,74.63,72.30,0.00,0.00,368,42.06
2026-04-08_16-03-58,EW,GREEN,12,8,8,0,0,0,0.00,0.00,0.00,0.00,368,50.33
2026-04-08_16-04-32,NS,GREEN,10,16,16,0,0,0,8.14,8.14,0.00,0.00,0,8.29
2026-04-08_16-04-39,NS,YELLOW,3,16,16,0,0,0,108.66,106.63,0.00,0.00,0,106.11
2026-04-08_16-04-42,NS,ALL_RED,3,20,16,0,0,0,161.33,157.40,0.00,0.00,0,159.61
2026-04-08_16-04-45,EW,GREEN,30,16,16,0,0,0,0.00,0.00,0.00,0.00,0,212.24
2026-04-08_16-05-31,EW,YELLOW,3,24,8,0,0,0,0.00,0.00,0.00,0.00,1148,51.84
2026-04-08_16-05-34,EW,ALL_RED,3,24,8,0,0,0,0.00,0.00,0.00,0.00,1148,50.67
2026-04-08_16-05-37,NS,GREEN,10,24,8,0,0,0,0.00,0.00,0.00,0.00,1148,48.07
2026-04-08_16-05-44,NS,YELLOW,3,20,8,0,0,0,139.67,48.79,0.00,0.00,1148,53.06
2026-04-08_16-05-47,NS,ALL_RED,3,24,8,0,0,0,206.20,73.16,0.00,0.00,1148,61.91
2026-04-08_16-05-50,EW,GREEN,31,24,8,0,0,0,0.00,0.00,0.00,0.00,1148,65.92
2026-04-08_16-06-34,NS,GREEN,10,40,16,0,0,0,30.56,11.45,0.00,0.00,0,21.61
2026-04-08_16-06-40,NS,YELLOW,3,48,16,0,0,0,305.84,110.54,0.00,0.00,0,206.08
2026-04-08_16-06-43,NS,ALL_RED,3,48,16,0,0,0,452.19,161.24,0.00,0.00,0,304.87
2026-04-08_16-06-47,EW,GREEN,32,40,16,0,0,0,0.00,0.00,0.00,0.00,0,399.92
2026-04-08_16-07-08,NS,GREEN,10,120,40,0,0,0,58.92,19.64,0.00,0.00,0,39.60
2026-04-08_16-07-14,NS,YELLOW,3,120,40,0,0,0,793.40,269.50,0.00,0.00,0,523.25
2026-04-08_16-07-17,NS,ALL_RED,3,100,40,0,0,0,1143.68,392.51,0.00,0.00,0,770.09
2026-04-08_16-07-21,EW,GREEN,32,120,40,0,0,0,0.00,0.00,0.00,0.00,0,1028.13
2026-04-08_16-07-44,NS,GREEN,12,1200,400,0,0,0,840.98,280.33,0.00,0.00,0,560.64
2026-04-08_16-07-52,NS,YELLOW,3,1200,400,0,0,0,9734.95,3276.50,0.00,0.00,0,6559.98
2026-04-08_16-07-55,NS,ALL_RED,3,1200,400,0,0,0,13357.99,4484.18,0.00,0.00,0,9016.91
2026-04-08_16-07-58,EW,GREEN,32,1200,400,0,0,0,0.00,0.00,0.00,0.00,0,11631.46
2026-04-08_16-08-46,EW,YELLOW,3,1200,400,0,0,0,0.00,0.00,0.00,0.00,59000,3277.96
2026-04-08_16-08-49,EW,ALL_RED,3,0,400,0,0,0,0.00,0.00,0.00,0.00,59000,3095.07
2026-04-08_16-08-53,NS,GREEN,10,400,400,0,0,0,0.00,0.00,0.00,0.00,59000,2931.50
2026-04-08_16-08-59,NS,YELLOW,3,800,800,0,0,0,3204.46,4309.26,0.00,0.00,59000,2962.38
2026-04-08_16-09-02,NS,ALL_RED,3,800,800,0,0,0,5642.00,6746.80,0.00,0.00,59000,3060.41
2026-04-08_16-09-05,EW,GREEN,32,800,800,0,0,0,0.00,0.00,0.00,0.00,59000,3604.15
2026-04-08_16-09-24,NS,GREEN,11,80000000,80000000,0,0,0,38532028.20,38532028.20,0.00,0.00,0,38951320.65
2026-04-08_16-09-32,NS,YELLOW,3,80000000,80000000,0,0,0,641950664.52,641950664.52,0.00,0.00,0,634102099.83
2026-04-08_16-09-35,NS,ALL_RED,3,80000000,80000000,0,0,0,885048484.80,885048484.80,0.00,0.00,0,880777161.12
2026-04-08_16-09-38,EW,GREEN,32,80000000,80000000,0,0,0,0.00,0.00,0.00,0.00,0,1127150229.16
2026-04-08_16-14-01,NS,GREEN,11,80000000,80000000,0,0,0,39078159.33,39078159.33,0.00,0.00,0,39418551.13
2026-04-08_16-14-08,NS,YELLOW,3,40000000,80000000,0,60000000,0,358635826.11,651789150.24,0.00,0.00,480000000,517981712.75
2026-04-08_16-14-12,NS,ALL_RED,3,40000000,80000000,0,80000000,0,486378984.45,907275466.92,0.00,0.00,480000000,715991027.87
2026-04-08_16-14-15,EW,GREEN,33,40000000,80000000,0,80000000,0,0.00,0.00,0.00,0.00,480000000,911619040.93
2026-04-08_16-14-55,EW,YELLOW,3,0,80000000,0,100000000,0,0.00,0.00,0.00,3264871997.83,3520000000,1373141668.66
2026-04-08_16-14-58,EW,ALL_RED,3,0,80000000,0,100000000,0,0.00,0.00,0.00,3565623731.61,3520000000,1501416508.92
2026-04-08_16-15-02,NS,GREEN,32,0,80000000,0,100000000,0,0.00,0.00,0.00,0.00,3520000000,1602837108.87
2026-04-08_16-16-55,NS,GREEN,23,0,16,0,20,0,0.00,7.80,0.00,0.00,0,3.99
2026-04-08_16-17-18,NS,YELLOW,3,4,12,8,8,0,86.67,282.08,0.00,0.00,308,173.65
2026-04-08_16-17-21,NS,ALL_RED,3,4,16,8,8,0,98.02,324.48,0.00,0.00,308,202.05
2026-04-08_16-17-24,EW,GREEN,23,4,16,8,8,0,0.00,0.00,0.00,0.00,308,230.70
2026-04-08_16-18-36,NS,GREEN,13,4,16,8,8,0,2.85,11.42,0.00,0.00,0,7.08
2026-04-08_16-18-43,NS,YELLOW,3,4,16,8,8,0,32.74,130.96,0.00,0.00,96,81.63
2026-04-08_16-18-46,NS,ALL_RED,3,4,16,8,8,0,45.28,181.11,0.00,0.00,96,114.51
2026-04-08_16-18-49,EW,GREEN,23,4,16,8,8,0,0.00,0.00,0.00,0.00,96,146.29
2026-04-08_16-19-23,EW,YELLOW,3,0,4,16,16,0,0.00,0.00,314.26,332.04,492,235.09
2026-04-08_16-19-27,EW,ALL_RED,3,0,4,16,16,0,0.00,0.00,366.22,384.00,492,268.08
2026-04-08_16-19-30,NS,GREEN,31,0,4,16,16,0,0.00,0.00,0.00,0.00,492,300.86
2026-04-08_16-23-03,NS,GREEN,13,0,2,8,8,0,0.00,1.39,0.00,0.00,0,0.70
2026-04-08_16-23-25,NS,YELLOW,3,8,2,4,0,0,73.07,44.87,0.00,0.00,192,37.10
2026-04-08_16-23-28,NS,ALL_RED,3,10,2,4,0,0,99.17,51.31,0.00,0.00,192,51.13
2026-04-08_16-23-31,EW,GREEN,13,10,2,4,0,0,0.00,0.00,0.00,0.00,192,65.84
2026-04-08_16-24-00,EW,YELLOW,3,4,6,0,2,0,0.00,0.00,2.03,1.89,514,35.31
2026-04-08_16-24-05,EW,ALL_RED,3,4,6,0,2,0,0.00,0.00,2.03,12.67,514,34.09
2026-04-08_16-24-08,NS,GREEN,10,4,6,0,4,0,0.00,0.00,0.00,0.00,514,33.27
2026-04-08_16-24-20,NS,YELLOW,3,4,6,4,4,0,47.49,71.24,0.00,0.00,588,35.81
2026-04-08_16-24-23,NS,ALL_RED,3,4,6,0,4,0,62.47,90.16,0.00,0.00,588,40.34
2026-04-08_16-24-26,EW,GREEN,11,2,6,0,2,0,0.00,0.00,0.00,0.00,588,45.79
2026-04-08_16-24-53,EW,YELLOW,3,6,10,0,0,0,0.00,0.00,0.00,3.42,896,35.73
2026-04-08_16-24-56,EW,ALL_RED,3,8,10,0,0,0,0.00,0.00,0.00,3.42,896,34.71
2026-04-08_16-24-59,NS,GREEN,10,6,10,0,0,0,0.00,0.00,0.00,0.00,896,33.75
2026-04-08_16-25-05,NS,YELLOW,3,6,10,0,0,0,39.46,60.13,0.00,0.00,896,34.00
2026-04-08_16-25-24,NS,GREEN,10,0,0,0,0,0,4.04,6.73,0.00,0.00,0,6.90
2026-04-08_16-25-30,NS,YELLOW,3,6,15,3,0,0,51.36,100.12,0.00,0.00,0,75.74
2026-04-08_16-25-33,NS,ALL_RED,3,9,15,3,0,0,72.95,145.21,0.00,0.00,0,109.85
2026-04-08_16-25-36,EW,GREEN,21,3,15,3,0,0,0.00,0.00,0.00,0.00,0,144.47
2026-04-08_16-26-13,EW,YELLOW,3,0,15,3,9,0,0.00,0.00,111.59,63.06,630,86.31
2026-04-08_16-26-16,EW,ALL_RED,3,0,9,0,12,0,0.00,0.00,117.44,97.79,630,93.80
2026-04-08_16-26-19,NS,GREEN,21,3,0,6,12,0,0.00,0.00,0.00,0.00,630,103.06
2026-04-08_16-26-57,NS,YELLOW,3,3,3,9,12,0,111.75,110.13,0.00,0.00,1209,105.20
2026-04-08_16-27-00,NS,ALL_RED,3,3,3,9,15,0,120.98,119.36,0.00,0.00,1209,109.95
2026-04-08_16-27-03,EW,GREEN,13,6,3,9,12,0,0.00,0.00,0.00,0.00,1209,115.03
2026-04-08_16-27-11,EW,YELLOW,3,12,3,9,0,0,0.00,0.00,72.25,39.76,1281,111.09
2026-04-08_16-27-14,EW,ALL_RED,3,12,6,9,0,0,0.00,0.00,101.35,39.76,1281,111.62
2026-04-08_16-27-17,NS,GREEN,13,12,6,9,0,0,0.00,0.00,0.00,0.00,1281,113.03
2026-04-08_16-27-27,NS,YELLOW,3,12,6,9,0,0,114.75,57.38,0.00,0.00,1344,110.30
2026-04-08_16-27-30,NS,ALL_RED,3,12,6,9,0,0,151.26,75.63,0.00,0.00,1344,112.93
2026-04-08_16-30-54,NS,GREEN,23,8,8,12,8,0,6.87,5.82,0.00,0.00,0,6.86
2026-04-08_16-31-23,NS,YELLOW,3,20,16,0,0,0,267.54,266.88,0.00,0.00,396,203.80
2026-04-08_16-31-26,NS,ALL_RED,3,20,16,0,0,0,332.08,318.51,0.00,0.00,396,217.81
2026-04-08_16-31-30,EW,GREEN,31,20,16,0,0,0,0.00,0.00,0.00,0.00,396,267.00
2026-04-08_16-32-30,NS,GREEN,27,8,4,12,12,0,5.92,2.96,0.00,0.00,0,4.54
2026-04-08_16-33-01,NS,GREEN,23,12,4,12,8,0,7.59,2.85,0.00,0.00,0,5.01
2026-04-08_16-33-24,NS,YELLOW,3,12,12,4,4,0,283.69,132.04,0.00,0.00,280,186.48
2026-04-08_16-33-27,NS,ALL_RED,3,12,12,4,4,0,322.44,170.78,0.00,0.00,280,222.61
2026-04-08_16-33-31,EW,GREEN,27,12,12,4,4,0,0.00,0.00,0.00,0.00,280,256.73
2026-04-08_16-34-13,EW,YELLOW,3,0,12,4,12,0,0.00,0.00,166.71,402.12,884,260.07
2026-04-08_16-34-18,EW,ALL_RED,3,4,16,4,12,0,0.00,0.00,180.40,461.02,884,273.30
2026-04-08_16-34-21,NS,GREEN,22,0,16,4,16,0,0.00,0.00,0.00,0.00,884,289.79
2026-04-08_16-34-59,NS,YELLOW,3,0,16,4,16,0,0.00,610.80,0.00,0.00,1484,297.08
2026-04-08_16-35-03,NS,ALL_RED,3,0,16,4,16,0,0.00,673.12,0.00,0.00,1484,302.45
2026-04-08_16-35-06,EW,GREEN,14,0,16,4,16,0,0.00,0.00,0.00,0.00,1484,313.14
2026-04-08_16-35-14,EW,YELLOW,3,0,16,4,16,0,0.00,0.00,32.35,129.42,1596,296.89
2026-04-08_16-35-18,EW,ALL_RED,3,0,16,4,16,0,0.00,0.00,47.55,190.20,1596,295.54
2026-04-08_16-36-56,NS,GREEN,32,0,24,6,24,0,0.00,12.27,0.00,0.00,0,6.20
2026-04-08_16-37-19,NS,YELLOW,3,18,18,12,6,0,166.04,491.32,0.00,0.00,408,282.22
2026-04-08_16-37-22,NS,ALL_RED,3,18,18,12,6,0,221.56,546.84,0.00,0.00,408,338.19
2026-04-08_16-37-25,EW,GREEN,33,18,18,12,6,0,0.00,0.00,0.00,0.00,408,394.13
2026-04-08_16-37-50,EW,YELLOW,3,0,6,24,24,0,0.00,0.00,374.42,412.22,720,370.32
2026-04-08_16-37-53,EW,ALL_RED,3,0,6,24,24,0,0.00,0.00,447.65,485.45,720,401.22
2026-04-08_16-37-57,NS,GREEN,34,0,6,24,24,0,0.00,0.00,0.00,0.00,720,428.95
2026-04-08_16-38-59,NS,GREEN,34,0,7,28,28,0,0.00,3.51,0.00,0.00,0,1.78
2026-04-08_16-39-28,NS,YELLOW,3,28,28,0,0,0,517.95,439.00,0.00,0.00,469,324.63
2026-04-08_16-39-31,NS,ALL_RED,3,35,28,0,0,0,624.89,529.02,0.00,0.00,469,349.75
2026-04-08_16-39-34,EW,GREEN,32,28,28,0,0,0,0.00,0.00,0.00,0.00,469,430.09
2026-04-08_16-40-22,EW,YELLOW,3,35,28,0,0,0,0.00,0.00,0.00,0.00,2758,184.33
2026-04-08_16-40-26,EW,ALL_RED,3,35,28,0,0,0,0.00,0.00,0.00,0.00,2758,176.34
2026-04-08_16-40-29,NS,GREEN,10,35,28,0,0,0,0.00,0.00,0.00,0.00,2758,169.01
2026-04-08_16-40-35,NS,YELLOW,3,35,28,0,0,0,215.46,172.37,0.00,0.00,2758,173.92
2026-04-08_16-40-38,NS,ALL_RED,3,35,28,0,0,0,328.26,262.61,0.00,0.00,2758,186.30
2026-04-08_16-40-41,EW,GREEN,32,35,28,0,0,0,0.00,0.00,0.00,0.00,2758,205.19
2026-04-08_16-41-31,EW,YELLOW,3,35,28,0,0,0,0.00,0.00,0.00,0.00,5152,140.37
2026-04-08_16-41-34,EW,ALL_RED,3,35,28,0,0,0,0.00,0.00,0.00,0.00,5152,137.44
2026-04-08_16-41-38,NS,GREEN,10,35,28,0,0,0,0.00,0.00,0.00,0.00,5152,134.13
2026-04-08_16-41-44,NS,YELLOW,3,35,28,0,0,0,215.78,172.62,0.00,0.00,5152,136.96
2026-04-08_16-41-47,NS,ALL_RED,3,35,28,0,0,0,331.23,264.98,0.00,0.00,5152,139.76
2026-04-08_16-41-50,EW,GREEN,32,35,28,0,0,0,0.00,0.00,0.00,0.00,5152,151.41
2026-04-08_16-43-48,NS,GREEN,10,5,4,0,0,0,2.89,2.32,0.00,0.00,0,2.68
2026-04-08_16-43-54,NS,YELLOW,3,4,4,0,0,1,24.83,27.13,0.00,0.00,0,27.00
2026-04-08_16-43-58,NS,ALL_RED,3,4,4,0,0,1,37.69,39.99,0.00,0.00,0,39.91
2026-04-08_16-44-01,EW,GREEN,12,4,4,0,0,1,0.00,0.00,0.00,0.00,0,51.97
2026-04-08_16-58-36,NS,GREEN,10,0,0,0,0,0,1.15,1.15,0.00,0.00,0,1.53
2026-04-08_16-58-44,NS,YELLOW,3,0,2,0,0,1,1.15,18.14,0.00,0.00,0,10.25
2026-04-08_16-58-48,NS,ALL_RED,3,0,2,0,0,1,1.15,24.66,0.00,0.00,0,13.55
