timestamp,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,current_phase,signal_state,remaining_time,predicted_green
2026-04-08_15-54-25,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,ALL_RED,0,10
2026-04-08_15-54-26,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,10,10
2026-04-08_15-54-27,2,1,0,0,0,2.21,1.10,0.00,0.00,NS,GREEN,8,10
2026-04-08_15-54-28,2,1,0,0,0,4.19,2.09,0.00,0.00,NS,GREEN,5,10
2026-04-08_15-54-29,2,1,0,0,0,6.14,3.07,0.00,0.00,NS,GREEN,4,10
2026-04-08_15-54-30,2,1,0,0,0,8.30,4.15,0.00,0.00,NS,GREEN,1,10
2026-04-08_15-54-31,2,1,0,0,0,10.03,5.01,0.00,0.00,NS,GREEN,0,10
2026-04-08_15-54-32,2,1,0,0,0,12.37,6.18,0.00,0.00,NS,YELLOW,3,10
2026-04-08_15-54-33,2,1,0,0,0,14.28,7.14,0.00,0.00,NS,YELLOW,2,10
2026-04-08_15-54-34,2,1,0,0,0,16.23,8.11,0.00,0.00,NS,YELLOW,1,10
2026-04-08_15-54-35,2,1,0,0,0,18.21,9.11,0.00,0.00,NS,YELLOW,0,10
2026-04-08_15-54-36,2,1,0,0,0,20.30,10.15,0.00,0.00,NS,ALL_RED,2,10
2026-04-08_15-54-37,2,1,0,0,0,22.36,11.18,0.00,0.00,NS,ALL_RED,1,10
2026-04-08_15-54-38,2,1,0,0,0,24.36,12.18,0.00,0.00,NS,ALL_RED,0,10
2026-04-08_15-54-39,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,9,10
2026-04-08_15-54-40,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,8,10
2026-04-08_15-54-41,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,9,10
2026-04-08_15-54-44,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,7,10
2026-04-08_15-54-45,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,7,10
2026-04-08_15-54-46,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,6,10
2026-04-08_15-54-47,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,7,10
2026-04-08_15-54-48,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,6,10
2026-04-08_15-54-49,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,7,10
2026-04-08_15-54-50,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,6,10
2026-04-08_15-54-51,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,7,10
2026-04-08_15-54-52,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,6,10
2026-04-08_15-54-53,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,7,10
2026-04-08_15-54-54,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,6,10
2026-04-08_15-54-55,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,7,10
2026-04-08_15-54-58,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,5,10
2026-04-08_15-54-59,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,5,10
2026-04-08_15-55-00,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,4,10
2026-04-08_15-55-03,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,0,10
2026-04-08_15-55-04,2,1,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,0,10
