timestamp,phase,signal_state,green_duration,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,vehicles_passed,avg_wait
2026-04-02_18-15-36,NS,GREEN,24,2,0,2,4,0,0.82,0.00,0.00,0.00,0,0.37
2026-04-02_18-16-16,NS,YELLOW,3,1,0,2,4,0,49.31,0.00,0.00,0.00,131,24.14
2026-04-02_18-16-19,NS,ALL_RED,3,1,0,2,3,0,52.37,0.00,0.00,0.00,131,27.04
2026-04-02_18-16-23,EW,GREEN,10,1,0,2,4,0,56.20,0.00,0.00,0.00,131,28.19
2026-04-02_18-16-29,EW,YELLOW,3,1,0,2,4,0,50.13,0.00,12.13,23.57,136,35.29
2026-04-02_18-16-32,EW,ALL_RED,3,1,0,2,5,0,47.05,0.00,18.30,37.73,136,40.08
2026-04-02_18-16-35,NS,GREEN,26,1,0,2,3,0,43.95,0.00,24.49,49.04,136,45.35
2026-04-02_18-17-17,NS,YELLOW,3,1,0,2,3,0,86.04,0.00,0.00,0.00,306,58.41
2026-04-02_18-17-20,NS,ALL_RED,3,1,0,2,3,0,89.13,0.00,0.00,0.00,306,59.57
2026-04-02_18-17-23,EW,GREEN,10,1,0,2,2,0,92.28,0.00,0.00,0.00,306,59.79
2026-04-02_18-17-30,EW,YELLOW,3,1,0,2,5,0,86.10,0.00,12.38,23.20,312,63.14
2026-04-02_18-17-33,EW,ALL_RED,3,1,0,2,5,0,83.02,0.00,18.53,34.74,312,65.48
2026-04-02_18-17-38,NS,GREEN,26,1,0,2,3,0,77.35,0.00,29.86,54.13,312,68.20
2026-04-02_18-18-20,NS,YELLOW,3,1,0,2,3,0,119.52,0.00,0.00,0.00,472,80.53
2026-04-02_18-18-24,NS,ALL_RED,3,1,0,2,4,0,122.70,0.00,0.00,0.00,472,81.54
2026-04-02_18-18-27,EW,GREEN,10,1,0,2,5,0,125.85,0.00,0.00,0.00,472,82.48
2026-04-02_18-18-33,EW,YELLOW,3,1,0,2,5,0,119.70,0.00,12.30,27.20,478,85.28
2026-04-02_18-18-38,EW,ALL_RED,3,1,0,2,5,0,115.02,0.00,21.65,49.81,478,87.17
2026-04-02_18-18-41,NS,GREEN,29,1,0,2,5,0,111.78,0.00,28.13,64.96,478,88.64
2026-04-02_18-19-26,NS,YELLOW,3,2,0,0,0,0,158.54,0.00,0.00,0.00,620,101.95
2026-04-02_18-19-29,NS,ALL_RED,3,3,0,0,0,0,165.21,0.00,0.00,0.00,620,102.98
2026-04-02_18-19-32,EW,GREEN,10,3,0,0,0,0,174.36,0.00,0.00,0.00,620,104.12
