timestamp,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,current_phase,signal_state,remaining_time,predicted_green
2026-03-27_13-38-59,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,10,10
2026-03-27_13-39-00,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,8,10
2026-03-27_13-39-01,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,7,10
2026-03-27_13-39-02,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,6,10
2026-03-27_13-39-03,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,5,10
2026-03-27_13-39-04,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,4,10
2026-03-27_13-39-05,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,3,10
2026-03-27_13-39-06,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,2,10
2026-03-27_13-39-07,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,1,10
2026-03-27_13-39-08,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,0,10
2026-03-27_13-39-09,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,YELLOW,3,10
2026-03-27_13-39-10,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,YELLOW,2,10
2026-03-27_13-39-11,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,YELLOW,1,10
2026-03-27_13-39-12,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,YELLOW,0,10
2026-03-27_13-39-13,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,ALL_RED,2,10
2026-03-27_13-39-16,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,10,10
2026-03-27_13-39-17,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,8,10
2026-03-27_13-39-18,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,8,10
2026-03-27_13-39-19,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,6,10
2026-03-27_13-39-20,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,5,10
2026-03-27_13-39-21,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,4,10
2026-03-27_13-39-22,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,3,10
2026-03-27_13-39-23,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,2,10
2026-03-27_13-39-24,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,1,10
2026-03-27_13-39-25,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,0,10
2026-03-27_13-39-26,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,0,10
2026-03-27_13-39-27,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,YELLOW,2,10
2026-03-27_13-39-28,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,YELLOW,1,10
2026-03-27_13-39-31,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,ALL_RED,3,10
2026-03-27_13-39-32,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,ALL_RED,2,10
2026-03-27_13-39-33,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,ALL_RED,1,10
2026-03-27_13-39-34,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,10,10
2026-03-27_13-39-35,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,9,10
2026-03-27_13-39-36,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,8,10
2026-03-27_13-39-37,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,7,10
2026-03-27_13-39-38,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,6,10
2026-03-27_13-39-39,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,5,10
2026-03-28_01-25-12,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,10,10
2026-03-28_01-25-13,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,8,10
2026-03-28_01-25-14,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,7,10
2026-03-28_01-25-15,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,6,10
2026-03-28_01-25-16,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,5,10
2026-03-28_01-25-17,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,4,10
2026-03-28_01-25-18,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,3,10
2026-03-28_01-25-19,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,2,10
2026-03-28_01-25-41,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,ALL_RED,0,10
2026-03-28_01-25-42,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,ALL_RED,0,10
2026-03-28_01-25-43,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,9,10
2026-03-28_01-25-44,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,8,10
2026-03-28_01-25-45,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,7,10
2026-03-28_01-25-46,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,6,10
2026-03-28_01-25-48,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,3,10
2026-03-28_01-25-52,0,1,0,0,0,0.00,3.99,0.00,0.00,NS,YELLOW,3,10
2026-03-28_01-25-53,0,0,0,0,0,0.00,3.99,0.00,0.00,NS,YELLOW,2,10
2026-03-28_01-25-54,0,1,1,0,0,0.00,4.78,0.00,0.00,NS,YELLOW,1,10
2026-03-28_01-25-55,0,1,0,0,0,0.00,5.03,0.00,0.00,NS,YELLOW,0,10
2026-03-28_01-25-56,0,1,0,0,0,0.00,6.53,0.00,0.00,NS,ALL_RED,3,10
2026-03-28_01-25-57,0,1,0,0,0,0.00,7.02,0.00,0.00,NS,ALL_RED,2,10
2026-03-28_01-25-58,0,1,0,0,0,0.00,8.00,0.00,0.00,NS,ALL_RED,1,10
2026-03-28_01-25-59,0,1,0,0,0,0.00,8.95,0.00,0.00,NS,ALL_RED,0,10
2026-03-28_01-26-00,0,1,0,0,0,0.00,9.94,0.00,0.00,EW,GREEN,10,10
2026-03-28_01-26-01,0,1,0,0,0,0.00,8.89,0.00,0.00,EW,GREEN,8,10
2026-03-28_01-26-02,0,1,0,0,0,0.00,7.87,0.00,0.00,EW,GREEN,7,10
2026-03-28_01-26-03,0,0,0,0,0,0.00,7.87,0.00,0.00,EW,GREEN,6,10
2026-03-28_01-26-05,0,0,0,0,0,0.00,7.87,0.00,0.00,EW,GREEN,5,10
2026-03-28_01-26-07,0,0,0,0,0,0.00,7.87,0.00,0.00,EW,GREEN,3,10
2026-03-28_01-26-08,0,1,0,1,0,0.00,7.56,0.00,0.96,EW,GREEN,1,10
2026-03-28_01-26-09,0,0,0,0,0,0.00,6.51,0.00,1.22,EW,GREEN,0,10
2026-03-28_01-26-10,0,0,0,0,0,0.00,6.51,0.00,1.22,EW,YELLOW,3,10
2026-03-28_01-26-11,0,1,0,0,0,0.00,6.01,0.00,1.22,EW,YELLOW,1,10
2026-03-28_01-26-12,0,0,0,0,0,0.00,5.27,0.00,1.22,EW,YELLOW,0,10
2026-03-28_01-26-13,0,1,0,0,0,0.00,4.29,0.49,1.22,EW,YELLOW,0,10
2026-03-28_01-26-14,1,1,1,0,0,0.00,3.30,0.75,1.22,EW,ALL_RED,2,10
2026-03-28_01-26-15,0,1,0,0,0,0.00,2.80,0.75,1.22,EW,ALL_RED,1,10
