timestamp,phase,signal_state,green_duration,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,vehicles_passed,avg_wait
2026-04-02_18-12-01,NS,GREEN,15,4,0,2,3,1,1.17,0.00,0.00,0.00,0,0.59
2026-04-02_18-12-19,NS,YELLOW,3,0,0,2,0,0,49.08,0.00,0.00,0.00,62,28.96
2026-04-02_18-12-22,NS,ALL_RED,3,1,0,1,2,0,53.99,0.00,0.00,0.00,62,32.79
2026-04-02_18-12-25,EW,GREEN,15,2,0,2,3,0,58.84,0.00,0.00,0.00,62,36.35
2026-04-02_18-12-34,EW,YELLOW,3,1,0,2,4,0,49.36,0.00,18.42,29.81,71,45.06
2026-04-02_18-12-37,EW,ALL_RED,3,1,0,2,4,0,46.19,0.00,24.77,42.50,71,51.02
2026-04-02_18-12-40,NS,GREEN,15,2,0,2,3,0,40.17,0.00,31.04,52.98,71,57.54
2026-04-02_18-13-12,NS,YELLOW,3,1,0,2,4,0,93.87,0.00,0.00,0.00,206,71.71
2026-04-02_18-13-15,NS,ALL_RED,3,1,0,2,2,0,96.96,0.00,0.00,0.00,206,72.85
2026-04-02_18-13-19,EW,GREEN,15,1,0,2,3,0,100.98,0.00,0.00,0.00,206,73.39
2026-04-02_18-13-29,EW,YELLOW,3,1,0,2,3,0,91.12,0.00,19.72,32.33,214,79.78
2026-04-02_18-13-34,EW,ALL_RED,3,1,0,2,4,0,85.98,0.00,29.99,52.03,214,82.08
2026-04-02_18-13-37,NS,GREEN,15,1,0,2,3,0,82.75,0.00,36.46,62.39,214,85.63
2026-04-02_18-14-08,NS,YELLOW,3,1,0,2,2,0,114.06,0.00,0.00,0.00,334,97.09
2026-04-02_18-14-11,NS,ALL_RED,3,1,0,2,2,0,117.26,0.00,0.00,0.00,334,97.66
2026-04-02_18-14-14,EW,GREEN,15,1,0,2,3,0,120.40,0.00,0.00,0.00,334,98.29
