timestamp,WEST,EAST,NORTH,SOUTH,CENTER,wait_W,wait_E,wait_N,wait_S,current_phase,signal_state,remaining_time,predicted_green
2026-03-27_13-40-08,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,ALL_RED,0,10
2026-03-27_13-40-09,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,29,30
2026-03-27_13-40-10,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,28,30
2026-03-27_13-40-11,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,27,30
2026-03-27_13-40-12,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,26,30
2026-03-27_13-40-13,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,25,30
2026-03-27_13-40-14,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,24,30
2026-03-27_13-40-15,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,23,30
2026-03-27_13-40-16,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,22,30
2026-03-27_13-40-17,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,21,30
2026-03-27_13-40-18,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,20,30
2026-03-27_13-40-19,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,19,30
2026-03-27_13-40-20,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,18,30
2026-03-27_13-40-21,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,17,30
2026-03-27_13-40-22,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,16,30
2026-03-27_13-40-23,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,15,30
2026-03-27_13-40-26,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,12,30
2026-03-27_13-40-27,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,11,30
2026-03-27_13-40-28,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,10,30
2026-03-27_13-40-29,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,9,30
2026-03-27_13-40-30,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,8,30
2026-03-27_13-40-31,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,7,30
2026-03-27_13-40-32,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,6,30
2026-03-27_13-40-33,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,5,30
2026-03-27_13-40-34,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,4,30
2026-03-27_13-40-35,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,3,30
2026-03-27_13-40-36,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,2,30
2026-03-27_13-40-37,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,1,30
2026-03-27_13-40-38,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,0,30
2026-03-27_13-40-40,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,YELLOW,3,30
2026-03-27_13-40-41,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,YELLOW,2,30
2026-03-27_13-40-42,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,YELLOW,1,30
2026-03-27_13-40-43,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,YELLOW,0,30
2026-03-27_13-40-44,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,ALL_RED,3,30
2026-03-27_13-40-45,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,ALL_RED,1,30
2026-03-27_13-40-46,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,ALL_RED,0,30
2026-03-27_13-40-47,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,30,30
2026-03-27_13-40-48,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,29,30
2026-03-27_13-40-49,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,28,30
2026-03-27_13-40-50,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,27,30
2026-03-27_13-40-51,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,26,30
2026-03-27_13-40-52,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,24,30
2026-03-27_13-40-53,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,24,30
2026-03-27_13-40-55,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,22,30
2026-03-27_13-40-56,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,20,30
2026-03-27_13-40-57,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,19,30
2026-03-27_13-40-58,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,18,30
2026-03-27_13-40-59,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,17,30
2026-03-27_13-41-00,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,17,30
2026-03-27_13-41-01,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,16,30
2026-03-27_13-41-02,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,14,30
2026-03-27_13-41-03,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,14,30
2026-03-27_13-41-04,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,13,30
2026-03-27_13-41-05,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,12,30
2026-03-27_13-41-06,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,11,30
2026-03-27_13-41-07,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,9,30
2026-03-27_13-41-08,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,8,30
2026-03-27_13-41-10,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,6,30
2026-03-27_13-41-11,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,5,30
2026-03-27_13-41-12,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,4,30
2026-03-27_13-41-13,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,4,30
2026-03-27_13-41-14,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,2,30
2026-03-27_13-41-15,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,2,30
2026-03-27_13-41-16,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,1,30
2026-03-27_13-41-17,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,GREEN,0,30
2026-03-27_13-41-18,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,YELLOW,2,30
2026-03-27_13-41-19,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,YELLOW,1,30
2026-03-27_13-41-20,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,YELLOW,0,30
2026-03-27_13-41-21,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,ALL_RED,2,30
2026-03-27_13-41-22,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,ALL_RED,1,30
2026-03-27_13-41-23,0,0,0,0,0,0.00,0.00,0.00,0.00,EW,ALL_RED,0,30
2026-03-27_13-41-24,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,30,30
2026-03-27_13-41-26,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,28,30
2026-03-27_13-41-27,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,27,30
2026-03-27_13-41-28,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,26,30
2026-03-29_17-22-12,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,ALL_RED,0,10
2026-03-29_17-22-13,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,29,30
2026-03-29_17-22-14,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,28,30
2026-03-29_17-22-15,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,27,30
2026-03-29_17-22-16,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,26,30
2026-03-29_17-22-17,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,25,30
2026-03-29_17-22-18,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,24,30
2026-03-29_17-22-19,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,23,30
2026-03-29_17-22-20,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,22,30
2026-03-29_17-22-21,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,21,30
2026-03-29_17-22-25,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,17,30
2026-03-29_17-22-26,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,16,30
2026-03-29_17-22-27,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,15,30
2026-03-29_17-22-28,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,14,30
2026-03-29_17-22-29,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,13,30
2026-03-29_17-22-30,0,0,0,0,0,0.00,0.00,0.00,0.00,NS,GREEN,12,30
2026-03-29_17-22-31,0,0,0,0,0,0.00,0.24,0.00,0.00,NS,GREEN,11,30
2026-03-29_17-22-32,0,0,0,0,0,0.00,0.24,0.00,0.00,NS,GREEN,10,30
2026-03-29_17-22-33,0,1,0,0,0,0.00,0.48,0.00,0.00,NS,GREEN,9,30
2026-03-29_17-22-34,0,0,0,0,0,0.00,0.72,0.00,0.00,NS,GREEN,8,30
2026-03-29_17-22-35,0,0,0,0,0,0.00,0.72,0.00,0.00,NS,GREEN,7,30
2026-03-29_17-22-36,0,0,0,0,0,0.00,0.94,0.00,0.00,NS,GREEN,6,30
2026-03-29_17-22-39,0,0,0,0,0,0.00,1.18,0.00,0.00,NS,GREEN,2,30
2026-03-29_17-22-40,0,0,0,0,0,0.00,1.18,0.00,0.00,NS,GREEN,2,30
2026-03-29_17-22-41,0,0,0,3,0,0.00,1.18,0.00,0.00,NS,GREEN,0,30
2026-03-29_17-22-42,0,0,0,3,0,0.00,1.18,0.00,0.00,NS,GREEN,2,30
2026-03-29_17-22-43,0,1,0,2,0,0.00,1.89,0.00,0.00,NS,GREEN,1,30
2026-03-29_17-22-44,0,4,0,3,0,0.00,4.55,0.00,0.00,NS,GREEN,0,30
