epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9678,1.33072,1.84407,1.1193,0.52918,0.52987,0.5145,0.32967,1.24403,1.46149,1.24732,0.000472697,0.000472697,0.000472697
2,100.785,1.23084,1.22112,1.08315,0.59276,0.64525,0.63296,0.41458,1.23338,1.21779,1.30124,0.000939635,0.000939635,0.000939635
3,149.567,1.21407,1.1462,1.09058,0.72509,0.61204,0.67521,0.44204,1.25396,1.10074,1.32269,0.00139714,0.00139714,0.00139714
4,196.733,1.18257,1.06228,1.07935,0.68467,0.65539,0.70364,0.47101,1.23636,1.05851,1.30005,0.00138656,0.00138656,0.00138656
5,244.515,1.14246,0.9727,1.06196,0.6765,0.6892,0.7193,0.4816,1.22335,0.98624,1.25625,0.00137241,0.00137241,0.00137241
6,292.179,1.14613,0.96353,1.06155,0.71954,0.68931,0.71908,0.49487,1.17152,0.89609,1.23853,0.00135826,0.00135826,0.00135826
7,339.004,1.12419,0.9418,1.06255,0.71316,0.70755,0.74051,0.50316,1.17508,0.91539,1.22529,0.00134412,0.00134412,0.00134412
8,386.761,1.10817,0.90262,1.0563,0.65271,0.696,0.71894,0.4931,1.16542,0.88601,1.23793,0.00132997,0.00132997,0.00132997
9,433.623,1.09335,0.88214,1.03727,0.75052,0.70598,0.75269,0.52215,1.15619,0.84101,1.23842,0.00131582,0.00131582,0.00131582
10,480.399,1.08432,0.87035,1.04413,0.72466,0.72468,0.75179,0.51361,1.1188,0.79362,1.19032,0.00130168,0.00130168,0.00130168
11,528.384,1.07077,0.85085,1.0399,0.71466,0.69422,0.75141,0.52793,1.0991,0.77806,1.19851,0.00128753,0.00128753,0.00128753
12,575.282,1.05772,0.83955,1.03506,0.75137,0.71473,0.75626,0.53286,1.10049,0.75789,1.21266,0.00127338,0.00127338,0.00127338
13,622.562,1.05211,0.81611,1.03121,0.75256,0.70212,0.7567,0.52483,1.11765,0.75716,1.20262,0.00125923,0.00125923,0.00125923
14,670.059,1.03833,0.80685,1.02243,0.72736,0.71214,0.76072,0.54277,1.10306,0.75095,1.20337,0.00124509,0.00124509,0.00124509
15,716.767,1.02632,0.79727,1.02758,0.77767,0.7142,0.77726,0.55218,1.10064,0.7369,1.2152,0.00123094,0.00123094,0.00123094
16,763.135,1.01872,0.7844,1.02378,0.77,0.72669,0.77402,0.54958,1.10642,0.7523,1.21126,0.00121679,0.00121679,0.00121679
17,811.266,1.02392,0.79061,1.02136,0.73096,0.74204,0.7832,0.5565,1.05679,0.69999,1.16828,0.00120265,0.00120265,0.00120265
18,858.2,1.01617,0.78289,1.01819,0.75601,0.71288,0.7776,0.55183,1.08521,0.70585,1.1736,0.0011885,0.0011885,0.0011885
19,905.213,1.00482,0.77935,1.014,0.75775,0.73318,0.78146,0.5555,1.07814,0.73043,1.21166,0.00117435,0.00117435,0.00117435
20,952.529,0.99528,0.7678,1.01696,0.7557,0.72369,0.77247,0.55113,1.05159,0.72592,1.18212,0.00116021,0.00116021,0.00116021
21,998.719,0.99097,0.75278,1.00849,0.75096,0.72471,0.77833,0.55433,1.0636,0.69503,1.18378,0.00114606,0.00114606,0.00114606
22,1045.29,0.98979,0.75313,1.01066,0.73474,0.71351,0.76266,0.55029,1.06091,0.69365,1.17996,0.00113191,0.00113191,0.00113191
23,1093.63,0.97832,0.73744,1.00393,0.75326,0.73488,0.77684,0.55631,1.07938,0.70646,1.19219,0.00111776,0.00111776,0.00111776
24,1140.89,0.98524,0.7442,1.00909,0.76766,0.73534,0.78768,0.57124,1.0433,0.68869,1.17981,0.00110362,0.00110362,0.00110362
25,1188.37,0.98113,0.74317,1.0111,0.77533,0.72649,0.78467,0.56468,1.04655,0.67555,1.16998,0.00108947,0.00108947,0.00108947
26,1235.78,0.97811,0.75295,1.01347,0.74633,0.75319,0.78972,0.57644,1.00714,0.66214,1.15441,0.00107532,0.00107532,0.00107532
27,1283.21,0.98544,0.74196,1.01021,0.74399,0.73667,0.76953,0.55153,1.07498,0.71751,1.1951,0.00106118,0.00106118,0.00106118
28,1330.79,0.96179,0.72454,1.00148,0.7641,0.72923,0.78555,0.57504,1.0282,0.67062,1.16281,0.00104703,0.00104703,0.00104703
29,1377.92,0.97265,0.73507,1.00788,0.77819,0.74335,0.79744,0.57726,1.03904,0.67227,1.17508,0.00103288,0.00103288,0.00103288
30,1425.17,0.96112,0.72825,1.00245,0.76935,0.72908,0.78815,0.57799,1.01444,0.64948,1.15678,0.00101873,0.00101873,0.00101873
