epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,220.656,0.92332,0.65502,1.0104,0.81676,0.78053,0.84051,0.61315,1.07476,0.66771,1.1417,0.00141914,0.000473048,0.00141914,0.000473048,0.00141914,0.000473048,0.00141914,0.000473048
2,438.357,0.89343,0.62331,0.99344,0.78451,0.79031,0.82747,0.59851,1.08448,0.69299,1.14095,0.00273536,0.000911786,0.00273536,0.000911786,0.00273536,0.000911786,0.00273536,0.000911786
3,649.685,0.88011,0.61583,0.98925,0.78579,0.78115,0.82012,0.59121,1.10198,0.71383,1.15957,0.00393839,0.0013128,0.00393839,0.0013128,0.00393839,0.0013128,0.00393839,0.0013128
4,858.755,0.88969,0.62129,0.99042,0.80935,0.76887,0.81549,0.59238,1.10608,0.7204,1.18325,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
5,1069.95,0.90353,0.63775,0.99755,0.81846,0.76669,0.82772,0.59561,1.09985,0.69479,1.15644,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
6,1284.31,0.90134,0.62685,0.99659,0.79273,0.76246,0.81408,0.58187,1.12642,0.72692,1.16635,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
7,1493.99,0.90763,0.62846,0.99982,0.80737,0.76071,0.81984,0.59316,1.12031,0.72439,1.17754,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
8,1702.66,0.89021,0.61704,0.98867,0.78715,0.78436,0.82007,0.58982,1.11995,0.71051,1.17683,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
9,1915.07,0.90727,0.6275,0.99931,0.80827,0.76876,0.82455,0.59766,1.09449,0.69581,1.15034,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
10,2127.18,0.88895,0.61039,0.98824,0.82408,0.76024,0.82606,0.60379,1.09963,0.71207,1.16373,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
11,2335.12,0.89909,0.61825,0.99527,0.81253,0.76753,0.83011,0.6011,1.1069,0.692,1.15557,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
12,2544.02,0.89215,0.61422,0.99399,0.7852,0.77687,0.82036,0.59261,1.10384,0.69321,1.16419,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
13,2750.87,0.88612,0.61831,0.99445,0.8182,0.77566,0.83026,0.59665,1.09145,0.68157,1.15477,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
14,2957.46,0.89541,0.6137,0.99574,0.79592,0.79809,0.83377,0.60274,1.09227,0.67574,1.14908,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
15,3162.69,0.8898,0.60852,0.99135,0.80999,0.75791,0.82312,0.60044,1.08871,0.69374,1.15247,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
16,3329.58,0.86618,0.57567,0.97372,0.79321,0.78337,0.82374,0.59879,1.08124,0.68054,1.15549,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
17,3486.51,0.86184,0.57026,0.97291,0.82032,0.76849,0.82888,0.6063,1.08643,0.67827,1.15649,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
18,3644.91,0.85823,0.56848,0.96959,0.83624,0.76437,0.83054,0.60833,1.08197,0.68112,1.15316,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
19,3801.76,0.86128,0.57009,0.97194,0.78582,0.79445,0.82834,0.60334,1.08114,0.68261,1.15773,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
20,3959.93,0.85472,0.56764,0.97032,0.82728,0.78608,0.8367,0.61024,1.08012,0.67273,1.15212,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
21,4117.64,0.86292,0.56621,0.97721,0.82314,0.78009,0.83296,0.60718,1.08316,0.68195,1.14635,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
22,4276.18,0.86483,0.56501,0.97705,0.82371,0.78791,0.83799,0.61149,1.07624,0.6592,1.15357,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
23,4433.09,0.85415,0.56247,0.97027,0.82188,0.78769,0.83862,0.61427,1.07225,0.65977,1.14516,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
24,4589.08,0.87139,0.57245,0.97919,0.8149,0.78427,0.8381,0.61467,1.07121,0.65735,1.1475,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
25,4746.58,0.86579,0.5677,0.979,0.80461,0.80463,0.84095,0.61629,1.06503,0.65994,1.13836,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
